Address,area,latitude,longitude,Bedrooms,Bathrooms,Status,neworold,parking,Furnished_status,Lift,type_of_building,Price_sqft,Price_Lakhs
"third floor plot no 3414, Sushant Lok 3 Extension, Gurgaon, Delhi NCR",2000.0,28.4180181,77.0760705,4.0,4.0,Ready to Move,New Property,4.0,Semi-Furnished,1.0,Individual House,6000.0,120.0
"Pari Chowk, Greater Noida, Delhi NCR",1620.0,28.4610379345846,77.5076273348648,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4135.802469135802,67.0
"Lal Kuan, Ghaziabad, Delhi NCR",750.0,28.6336095,77.4713825,2.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Flat,3466.6666666666665,26.0
"""A"" Block DLF Dilshad Extn, Dlf Dilshad Extension, Ghaziabad, Delhi NCR",760.0,28.694197,77.329295,2.0,2.0,Ready to Move,Resale,1.0,Furnished,0.0,Flat,3552.6315789473683,27.0
"plot no GH 05, tech zone-4, Greater noida, Uttar Pradesh-201010, Tech Zone, Greater Noida, Delhi NCR",1055.0,28.400922,77.51969,2.0,2.0,Unknown,Resale,1.0,Unfurnished,2.0,Flat,4265.402843601896,45.0
"Chi 5, Greater Noida, Delhi NCR",1025.0,28.430981,77.507275,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4682.926829268293,48.0
"Sector 95, Gurgaon, Delhi NCR",1910.0,28.420952,76.910875,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4293.193717277487,82.0
"sec 1 near apex golf, Greater Noida West, Greater Noida, Delhi NCR",1385.0,28.5838869793513,77.4321686760026,3.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3610.1083032490974,50.0
"Vikaspuri Block C, New Delhi - West, Delhi NCR",1800.0,28.63509750366211,77.0711441040039,3.0,2.0,Ready to Move,Resale,2.0,Furnished,0.0,Individual House,10555.555555555557,190.0
"Sector 76, Noida, Sector 76, Noida, Delhi NCR",1015.0,28.5654147528131,77.383196,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4532.019704433497,46.0
"Dwarka, New Delhi - Dwarka, Delhi NCR",900.0,28.57331085205078,77.04484558105469,3.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,9911.111111111111,89.2
"Sector 21 Surya Vihar-, Gurgaon, Delhi NCR",1900.0,28.517671585083008,77.07597351074219,3.0,3.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,5789.473684210527,110.0
"Sector 37D, Gurgaon, Delhi NCR",1813.0,28.45251307,76.97627035,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5074.46221731936,92.0
"greenarch, near ek moorti chok, Noida Extension, Greater Noida, Delhi NCR",860.0,28.600152,77.449731,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4069.767441860465,35.0
"Sector 168, Noida, Delhi NCR",1415.0,28.497364,77.4100482399016,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4409.893992932863,62.4
"Indirapuram, Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1580.0,28.6374640404975,77.3957075020488,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5696.202531645569,90.0
"Sector 37C, Gurgaon, Delhi NCR",810.0,28.447866,76.98171288,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3975.308641975309,32.2
"Raj Nagar Extension, Ghaziabad., Raj Nagar Extension, Ghaziabad, Delhi NCR",1152.0,28.7224383710452,77.4460352324498,2.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Flat,2899.305555555556,33.4
"Bahrampur, Ghaziabad, Delhi NCR",800.0,28.63363759,77.40378377,2.0,2.0,Ready to Move,Resale,1.0,Unknown,1.0,Flat,3250.0,26.0
"Sector 88, Faridabad, Delhi NCR",1661.0,28.4166908888947,77.354919473033,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4093.919325707405,68.0
"Shakarpur, New Delhi - East, Delhi NCR",950.0,28.6287985,77.2800824,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,4736.8421052631575,45.0
"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1685.0,28.6244715,77.4383996,3.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Individual House,3264.094955489614,55.0
"Surajpur, Greater Noida, Surajpur, Greater Noida, Delhi NCR",1195.0,28.5116300715377,77.5200478811992,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4016.73640167364,48.0
"Zeta 1, Greater Noida, Delhi NCR",1200.0,28.4993735437355,77.5189461311465,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3750.0,45.0
"106., Jwalapuri, New Delhi - West, Delhi NCR",1500.0,28.677789,77.0802034,3.0,2.0,Ready to Move,Resale,2.0,Unfurnished,2.0,Flat,7333.333333333333,110.0
"Ashok Vihar Phase 3 Extension, Gurgaon, Delhi NCR",1350.0,28.4941085,77.0257,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,5703.703703703704,77.0
"Sector 21C, Faridabad, Delhi NCR",1800.0,28.4331715982298,77.2914456607069,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5277.777777777777,95.0
"winter hills sector 77, Sector 77 Gurgaon, Sector 77, Gurgaon, Delhi NCR",1342.0,28.38401706,76.97970505,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5961.251862891208,80.0
"E/CA-601, City Apartments, NH-24, Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1125.0,28.654612,77.486901,3.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4444.444444444444,50.0
"Greater Noida West, Greater Noida, Gautam budh nagar, Greater Noida, Delhi NCR",1000.0,28.633148,77.371138,2.0,2.0,Ready to Move,Resale,1.0,Unknown,4.0,Individual House,4850.0,48.5
"Flat no 202, lane no 3 ratan vihar, rajendra park near VGR mall, Ratan Vihar, Gurgaon, Delhi NCR",900.0,28.49311828613281,77.01239776611328,3.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Individual House,5111.111111111111,46.0
"HNo- 119, Street 14, Near Satyam Public School, Bhagwati Garden Extension, Dwarka Mor, New Delhi - West, Delhi NCR",1100.0,28.619316,77.033262,3.0,2.0,Ready to Move,Resale,1.0,Furnished,1.0,Flat,4090.909090909091,45.0
"Plot no154 Flat noA3 Gyan Khand2 Indrapuram Ghaziabad Near, Gyan Khand 2, Ghaziabad, Delhi NCR",850.0,28.712995529174805,77.28531646728516,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,3764.705882352941,32.0
"H.No. 538, Street 14, Karehra Colony, Mohan Nagar, Ghaziabad, Mohan Nagar, Ghaziabad, Delhi NCR",1400.0,28.690290451049805,77.37688446044922,3.0,4.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,5000.0,70.0
"Sector 37C, Gurgaon, Delhi NCR",1875.0,28.449384,76.98441,3.0,3.0,Ready to Move,New Property,1.0,Unknown,2.0,Flat,4053.3333333333335,76.0
"Beta 1, Greater Noida, Delhi NCR",1365.0,28.4804406,77.506164,3.0,3.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Individual House,4249.084249084249,58.0
"Sector 80, Faridabad, Delhi NCR",1380.0,28.3751182042664,77.3487447637588,3.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Individual House,4275.36231884058,59.0
"558 shakti khand 3 indirapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1300.0,28.6500637,77.3637503,3.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Flat,5076.923076923077,66.0
"Govondpuram, Govindpuram, Ghaziabad, Delhi NCR",1050.0,28.6896453,77.4933302,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Individual House,3619.0476190476193,38.0
"Amrapali zodiac Sector 120 Noida, Sector 120, Noida, Delhi NCR",1325.0,28.532778,77.377052,3.0,2.0,Ready to Move,Resale,1.0,Unknown,3.0,Flat,4603.773584905661,61.0
"Sector 85, Faridabad, Delhi NCR",1200.0,28.4042306,77.3559561,3.0,2.0,Ready to Move,Resale,1.0,Unknown,0.0,Flat,3916.6666666666665,47.0
"Bh-404, Abhimanyu apartment, Vasundhara enclave, new Delhi -110096, Vasundhara Enclave, New Delhi - East, Delhi NCR",1500.0,28.6013562305396,77.3193583454046,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,8666.666666666666,130.0
"NH 24, Ghaziabad, Delhi NCR",1000.0,28.630654,77.436644,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Individual House,3200.0,32.0
"Sector 85, Gurgaon, Delhi NCR",1670.0,28.405706,76.953427,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4311.377245508982,72.0
"Sector 118, Noida, Delhi NCR",1255.0,28.580262,77.403976,3.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Flat,4940.239043824701,62.0
"karkardooma metro station near Arjuna apartment, Karkardooma, New Delhi - East, Delhi NCR",1700.0,28.65128898620605,77.28226470947266,3.0,3.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,10000.0,170.0
"TF-04, VRINDAVAN APARTMENT-3, Krishna Kunj-II, Govindpuram, Ghaziabad, Delhi NCR",750.0,28.6896453,77.4933302,2.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Flat,2933.333333333333,22.0
"Raj Nagar Extension, Ghaziabad, Delhi NCR",899.0,28.7040534,77.4373305,2.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Individual House,3337.0411568409345,30.0
"35\25-26, Ground Floor, Front Side West Patel Nagar., Patel Nagar West, New Delhi - West, Delhi NCR",1114.0,28.65242958068848,77.16432189941406,3.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,1.0,Individual House,8527.8276481149,95.0
"Sector 102, Gurgaon, Delhi NCR",850.0,28.474268,76.96496,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Individual House,4705.882352941177,40.0
"Rajnagar Extension, Ghaziabad, Raj Nagar Extension, Ghaziabad, Delhi NCR",925.0,28.7224383710452,77.4460352324498,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,2918.9189189189187,27.0
"NH-58 Raj Nagar Extension Ghaziabad, Raj Nagar Extension, Ghaziabad, Delhi NCR",950.0,28.700114119298,77.4262625120552,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3684.2105263157896,35.0
"Ghaziabad, Shalimar Garden Extension 1, Ghaziabad, Delhi NCR",900.0,28.69004821777344,77.34053802490234,2.0,3.0,Ready to Move,Resale,1.0,Furnished,2.0,Flat,3333.333333333333,30.0
"Noida Extension, Greater Noida, Delhi NCR",1459.0,28.605871,77.450236,3.0,3.0,Unknown,Resale,1.0,Unfurnished,2.0,Flat,3872.5154215215903,56.5
"Raj Nagar Extension, Ghaziabad, Delhi NCR",995.0,28.703253,77.4212420699908,2.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Flat,3517.5879396984924,35.0
"Ashok Vihar Phase 2, Gurgaon, Delhi NCR",1000.0,28.4838094,77.027832,3.0,2.0,Unknown,Resale,1.0,Semi-Furnished,2.0,Flat,3900.0,39.0
"Sector 102, Dwarka Expressway Gurgaon, Haryana, Sector 102, Gurgaon, Delhi NCR",2025.0,28.48021,76.969179,3.0,3.0,Unknown,Resale,1.0,Semi-Furnished,2.0,Flat,6617.283950617284,134.0
"Greater Noida West, Greater Noida, Delhi NCR",1200.0,28.60595893859864,77.44451141357422,2.0,2.0,Ready to Move,Resale,1.0,Furnished,2.0,Individual House,4083.3333333333335,49.0
"M3M sierra 68 Gurgaon, Sector 68, Gurgaon, Delhi NCR",1500.0,28.386791,77.049466,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,6666.666666666667,100.0
"Ahinsa Khand 1, Ghaziabad, Delhi NCR",1375.0,28.6402995,77.369307,3.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Flat,4727.272727272727,65.0
"Vasant Kunj Enclave, New Delhi - South, Delhi NCR",1200.0,28.52470970153809,77.13414764404297,3.0,3.0,Ready to Move,New Property,1.0,Semi-Furnished,2.0,Flat,5833.333333333333,70.0
"flat no S 2 plot no 354, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",1450.0,28.645282745361328,77.36209869384766,3.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Flat,3862.0689655172414,56.0
"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1040.0,28.509118,77.413416,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4519.2307692307695,47.0
"Sector 47, Gurgaon, Delhi NCR",1600.0,28.4258675,77.0475735,3.0,3.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,7000.000000000001,112.00000000000001
"Sector 107, Noida, Delhi NCR",1730.0,28.5500058156014,77.3758201622555,3.0,4.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,6069.364161849711,105.0
"Sector 63 Block A, Noida, Delhi NCR",1400.0,28.62171,77.38175,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3714.285714285714,52.0
"rajnagar extansion brave hert road, Raj Nagar Extension, Ghaziabad, Delhi NCR",675.0,28.705966,77.433808,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Individual House,3703.703703703704,25.0
"B4, plot 166, shakti khand 2  indirapuram, Shakti Khand, Ghaziabad, Delhi NCR",1100.0,28.6485932413911,77.3794392124472,3.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Individual House,4181.818181818182,46.0
"Raj Nagar Extension, Ghaziabad, Delhi NCR",1475.0,28.7040534,77.4373305,3.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Individual House,2901.694915254237,42.8
"M Tower on 14th Floor (Total 15 Floors), Sector 76, Noida, Delhi NCR",1420.0,28.5685416949121,77.3792999293712,3.0,2.0,Ready to Move,Resale,1.0,Unknown,3.0,Flat,5281.69014084507,75.0
"Neeti Khand 2, Ghaziabad, Delhi NCR",900.0,28.6446415,77.371908,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Individual House,5333.333333333333,48.0
"Sector 83, Gurgaon, Sector 83, Gurgaon, Delhi NCR",1733.0,28.399598,76.97150985,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5020.196191575303,87.0
"Gali no. 2, Ashok Vihar Phase 2, Gurgaon, Delhi NCR",720.0,28.4838094,77.027832,2.0,2.0,Ready to Move,Resale,2.0,Semi-Furnished,4.0,Flat,5555.555555555556,40.0
"Sahibabad, Ghaziabad, Delhi NCR",995.0,28.6644882,77.3474938,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,4221.105527638191,42.0
"Ramprastha Colony, Ghaziabad, Delhi NCR",900.0,28.6589432,77.32223,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,5444.444444444444,49.0
"Raj Nagar Extension, Ghaziabad, Garhi, Ghaziabad, Delhi NCR",1175.0,28.703253,77.4212420699908,3.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3914.893617021277,46.0
"C-16, Greater Noida, Delhi NCR",1810.0,28.453581,77.556221,4.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4972.375690607735,90.0
"Padam Nagar, New Delhi - Central, Delhi NCR",1000.0,28.666349411010746,77.1888198852539,3.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,4960.0,49.6
"Madhav kunj plot No 19, Shalimar Garden Extension 1, Ghaziabad, Delhi NCR",1600.0,28.690406,77.3406418916225,3.0,3.0,Ready to Move,New Property,1.0,Unknown,2.0,Flat,3437.5,55.0
"b4/2 diffence colony apposit lemon tree hotel sohna road gurgaon, Sohna Road, Gurgaon, Delhi NCR",1000.0,28.4102438,77.0411697,3.0,3.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,5300.0,53.0
"NH24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",895.0,28.63580894470215,77.4813003540039,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,1.0,Flat,3798.882681564246,34.0
"Sector 1, Greater Noida, Delhi NCR",1441.0,28.5668164323845,77.4477516140113,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3469.8126301179736,50.0
"Sector 52, Gurgaon, Delhi NCR",2000.0,28.438262,77.0793005,3.0,3.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,6750.0,135.0
"Sector 92, Gurgaon, Delhi NCR",1770.0,28.4096109,76.9141943,3.0,3.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Flat,3954.8022598870057,70.0
"Uttam Nagar, New Delhi - West, Delhi NCR",910.0,28.6212874,77.0530735,3.0,2.0,Ready to Move,Resale,8.0,Unknown,1.0,Individual House,5483.516483516483,49.9
"Crossings Republik, Ghaziabad, Delhi NCR",1730.0,28.631927,77.437442,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3352.601156069364,58.0
"Sector 70, Gurgaon, Delhi NCR",1950.0,28.394708,77.01856,3.0,3.0,Unknown,Resale,1.0,Unfurnished,2.0,Flat,6923.076923076923,135.0
"Noida-Greater Noida Expy, Sultanpur, Sector 128, Noida, Uttar Pradesh., Sultanpur, Noida, Delhi NCR",1356.0,28.526552,77.363882,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5162.241887905605,70.0
"12B jain road bhagwati garden extension, Bhagwati Garden Extension, New Delhi - West, Delhi NCR",1000.0,28.622671127319336,77.03329467773438,3.0,2.0,Ready to Move,New Property,1.0,Semi-Furnished,2.0,Flat,5000.0,50.0
"Palam Vihar, Gurgaon, Delhi NCR",5199.0,28.5080324,77.0336072,5.0,5.0,Ready to Move,Resale,2.0,Semi-Furnished,2.0,Flat,6732.063858434314,350.0
"Sector 33, Sohna, Gurgaon, Sector 32 Sohna, Gurgaon, Delhi NCR",1093.0,28.283756,77.079837,2.0,2.0,Unknown,Resale,1.0,Furnished,2.0,Flat,6861.848124428179,75.0
"Sector 16, Greater Noida, Delhi NCR",1500.0,28.577868,77.48322,3.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Flat,3400.0,51.0
"Sector 10, Greater Noida, Delhi NCR",1100.0,28.571936,77.479001,2.0,2.0,Unknown,Resale,1.0,Unfurnished,4.0,Flat,3818.181818181818,42.0
"Indirapuram, Ghaziabad, Ahinsa Khand 2, Ghaziabad, Delhi NCR",1665.0,28.6404556222776,77.380211,3.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4024.024024024024,67.0
"F-1764., Sainik Colony, Faridabad, Delhi NCR",2100.0,28.398028,77.2752245,3.0,2.0,Ready to Move,Resale,1.0,Furnished,2.0,Flat,3571.428571428572,75.0
"Bhopura, Ghaziabad, Delhi NCR",1050.0,28.728555,77.337353,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,2857.1428571428573,30.0
"Alana Appartments Noida Sec73, Sector 73, Noida, Delhi NCR",740.0,28.589014053344727,77.38101959228516,2.0,2.0,Ready to Move,Resale,2.0,Semi-Furnished,1.0,Individual House,3243.243243243244,24.0
"Sector 77, Noida, Delhi NCR",1175.0,28.5690261530751,77.39297,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5702.127659574468,67.0
"Raj Nagar Extension, Ghaziabad, Delhi NCR",1000.0,28.705425,77.433193,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3190.0,31.9
"Rani Bagh, New Delhi - West, Delhi NCR",1440.0,28.617162704467773,77.07132720947266,4.0,3.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Flat,9722.222222222224,140.0
"Indirapuram, Ghaziabad, Delhi NCR",1660.0,28.6345978639457,77.3615521659413,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5542.168674698795,92.0
"Sector 37D, Gurgaon, Delhi NCR",1803.0,28.45833751,76.970345,3.0,3.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4437.049362174154,80.0
"Sector 118, Noida, Sector 118, Noida, Delhi NCR",1475.0,28.580262,77.403976,3.0,2.0,Unknown,Resale,1.0,Semi-Furnished,2.0,Individual House,4338.983050847458,64.0
"Sector 5 Rohini, New Delhi - Rohini, Delhi NCR",1260.0,28.716136932373047,77.1041488647461,4.0,2.0,Ready to Move,Resale,1.0,Furnished,2.0,Flat,10317.460317460318,130.0
"Sohna, Gurgaon, Sector 2 Sohna, Gurgaon, Delhi NCR",1264.0,28.266656,77.064897,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Individual House,4746.835443037975,60.0
"Sector 5 Vaishali, Ghaziabad, Delhi NCR",1000.0,28.643642,77.34532,2.0,2.0,Ready to Move,Resale,1.0,Furnished,2.0,Flat,5000.0,50.0
"Indirapuram, Shakti Khand 4, Ghaziabad, Delhi NCR",1000.0,28.650829315185547,77.37139892578125,3.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Flat,5000.0,50.0
"Sector 108 Parx Laureate, Noida, Delhi NCR",3195.0,28.52436637878418,77.37460327148438,3.0,3.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,6885.758998435055,220.0
"Noida Extension, Greater Noida, Delhi NCR",1067.0,28.616346,77.362221,2.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Individual House,4217.432052483598,45.0
"Greater Noida West, Noida, Delhi NCR",1000.0,28.6192670059929,77.4285183883815,2.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Individual House,4250.0,42.5
"Zeta 2, Greater Noida, Delhi NCR",1050.0,28.508557,77.5341136,2.0,2.0,Ready to Move,Resale,1.0,Furnished,2.0,Flat,3619.0476190476193,38.0
"D 702., Sector 30, Faridabad, Delhi NCR",1250.0,28.4478379275138,77.3172846780451,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5760.0,72.0
"F 248, 2nd floor, Sushant Lok 2, Gurgaon, Delhi NCR",1078.0,28.424897,77.084986,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,6493.506493506494,70.0
"Greater Noida West, Greater Noida, Delhi NCR",835.0,28.5906688976436,77.4578626522875,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3760.479041916168,31.4
"sadullapur, Sadullapur, Greater Noida, Delhi NCR",900.0,28.591666,77.484749,2.0,2.0,Unknown,Resale,1.0,Unfurnished,2.0,Flat,3888.8888888888887,35.0
"S-2, A-86, Rampuri, Ghaziabad, Rampuri, Ghaziabad, Delhi NCR",850.0,28.6708215,77.3291634,2.0,2.0,Ready to Move,Resale,2.0,Furnished,2.0,Flat,5058.823529411765,43.0
"Sector 87, Faridabad, Delhi NCR",1025.0,28.4120224356186,77.3436620234332,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3902.439024390244,40.0
"Noida sec 143, Sector 143, Noida, Delhi NCR",1495.0,28.502597,77.428742,3.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,5217.391304347826,78.0
"Raj Bagh, Ghaziabad, Delhi NCR",850.0,28.6809766,77.3501214,2.0,2.0,Unknown,Resale,1.0,Semi-Furnished,2.0,Flat,3764.705882352941,32.0
"Sector 143, Noida, Delhi NCR",990.0,28.5028911,77.4257,2.0,2.0,Unknown,Resale,1.0,Unfurnished,2.0,Flat,4848.484848484848,48.0
"Plot No 54-55, Street No: 4, Rajendra Park, Gurgaon, Delhi NCR",750.0,28.4938375,77.0071875,2.0,2.0,Ready to Move,Resale,1.0,Furnished,2.0,Flat,3066.6666666666665,23.0
"Sector 37D, Gurgaon, Sector 37D, Gurgaon, Delhi NCR",2025.0,28.448734,76.971233,3.0,5.0,Unknown,Resale,1.0,Semi-Furnished,4.0,Flat,5925.925925925926,120.0
"Aashiyana, New Gwal Pahari Gurgoan, Gwal Pahari, Gurgaon - South, Delhi NCR",810.0,28.4305781,77.147745,2.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,4320.987654320988,35.0
"Sector 78, Faridabad, Delhi NCR",1200.0,28.3839618662127,77.3684844005374,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3750.0,45.0
"Neeti Khand 1, Ghaziabad, Delhi NCR",900.0,28.6446455,77.3645325,2.0,2.0,Ready to Move,Resale,1.0,Furnished,2.0,Flat,4722.222222222223,42.5
"Sector 168, Noida, Delhi NCR",890.0,28.4962932685044,77.4085199482841,2.0,2.0,Ready to Move,Resale,2.0,Unknown,2.0,Flat,4438.202247191011,39.5
"Phi 1, Greater Noida, Phi 1, Greater Noida, Delhi NCR",1420.0,28.4696852432771,77.5382989638331,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3380.281690140845,48.0
"Orchid Island, Gurgaon, Delhi NCR",1543.0,28.428272247314453,77.06991577148438,3.0,4.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Individual House,9073.233959818535,140.0
"Sector 33, Sohna, Gurgaon, Delhi NCR",1175.0,28.247592,77.069185,2.0,2.0,Ready to Move,Resale,2.0,Semi-Furnished,2.0,Flat,5957.446808510638,70.0
"Sushant Lok 1, Gurgaon, Delhi NCR",1470.0,28.454191,77.0837996,3.0,3.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,10544.21768707483,155.0
"Sector 109, Gurgaon, Delhi NCR",1457.0,28.5081375,77.008965,3.0,2.0,Ready to Move,Resale,1.0,Semi-Furnished,2.0,Flat,5490.73438572409,80.0
"Sanjay Nagar, Ghaziabad, Delhi NCR",540.0,28.6957931,77.4540746,2.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Individual House,4629.62962962963,25.0
"Raj Nagar Extension, Ghaziabad, Raj Nagar Extension, Ghaziabad, Delhi NCR",1135.0,28.702659,77.417298,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3436.123348017621,39.0
"Sector 143 B, Noida, Delhi NCR",950.0,28.495486,77.25219,2.0,2.0,Ready to Move,New Property,1.0,Unknown,2.0,Individual House,4736.8421052631575,45.0
"Sector MI, Manesar, Gurgaon, Delhi NCR",2230.0,28.490613,77.080014,4.0,4.0,Ready to Move,Resale,2.0,Unknown,4.0,Individual House,6726.457399103139,150.0
"Indirapuram, Ghaziabad, Delhi NCR",1000.0,28.6493479,77.3696259,2.0,2.0,Ready to Move,Resale,1.0,Unfurnished,2.0,Flat,4500.0,45.0
"Indirapuram, Ghaziabad, Delhi NCR",1450.0,28.634729,77.35832,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,4137.931034482759,60.0
"NH 24, Ghaziabad, Delhi NCR",840.0,28.658647,77.4757,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3154.7619047619046,26.5
"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",850.0,28.5715024536977,77.4743400338994,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Individual House,4117.64705882353,35.0
"H-119, Palam vihar extension, Palam Vihar Extension, Gurgaon, Delhi NCR",825.0,28.49823760986328,77.0483627319336,2.0,2.0,Ready to Move,New Property,1.0,Unfurnished,2.0,Flat,3272.7272727272725,27.0
"Sector 53, Noida, Uttar Pradesh, Sector 53, Noida, Delhi NCR",980.0,28.5905383,77.35981,2.0,2.0,Ready to Move,Resale,1.0,Unknown,2.0,Flat,3877.5510204081634,38.0
